Date,HDFCBANK,RELIANCE,TCS,BHARTIARTL,TATAMOTORS,NSEI
2015-08-04,236.2880859,185.2920837,1046.858887,355.8253784,551.3457031,8714.400391
2015-09-04,240.9771118,191.5405273,1056.034058,345.6807251,549.7746582,8778.299805
2015-10-04,237.9081116,193.5199127,1051.753662,349.7131042,552.4749756,8780.349609
04-13-2015,237.0296783,197.4038086,1052.447632,361.3858032,546.1906738,8834.0
04-15-2015,235.3982086,197.6499023,1041.449219,352.429718,530.6763306,8834.0
04-16-2015,234.941864,198.6556244,1023.634583,354.8491516,531.4619141,8706.700195
04-17-2015,232.3406219,198.3346252,980.8509521,344.6196289,525.6685791,8606.0
04-20-2015,229.3401031,189.5183258,962.5997925,341.5210876,523.5574341,8448.099609
04-21-2015,228.8609467,187.5496521,961.9064941,338.1253662,517.8624268,8377.75
04-22-2015,231.1655121,188.2558289,969.0603638,339.0591736,514.0328979,8429.700195
04-23-2015,231.2567902,187.6780548,973.8757324,339.4411621,502.7408447,8398.299805
04-24-2015,229.6481476,188.0739288,988.06427,338.8469849,506.8649597,8305.25
04-27-2015,229.4199829,187.3035889,990.897644,331.9283142,507.5031128,8213.799805
04-28-2015,229.2146149,185.1423035,988.836792,340.2052612,520.2680664,8285.599609
04-29-2015,226.6134033,181.8896484,985.7849731,328.8296814,511.47995,8239.75
04-30-2015,225.6208496,184.5323944,976.4319458,323.5239258,499.0586853,8181.5
2015-04-05,228.393158,190.6524963,983.5061646,333.5412292,497.2911987,8331.950195
2015-05-05,225.3584137,190.909256,997.8930054,328.5750732,501.2189331,8324.799805
2015-06-05,221.4680176,188.362793,976.1743774,331.249115,488.8467407,8097.0
2015-07-05,217.0642242,186.3299408,1008.752258,334.1778564,479.2730713,8057.299805
2015-08-05,224.0692596,192.7836914,1001.618408,337.8282776,504.4101563,8191.5
2015-11-05,225.9631042,194.1379852,1013.013123,336.3426208,520.1207886,8325.25
2015-12-05,221.7760468,188.2333221,999.894104,332.3950806,504.2628174,8126.950195
05-13-2015,225.9516907,191.7869415,996.9222412,324.7548218,511.0380554,8235.450195
05-14-2015,226.134201,190.2918091,990.5214233,327.6836243,507.2575989,8224.200195
05-15-2015,225.9174652,189.3709259,995.237793,332.7771912,510.4979858,8262.349609
05-18-2015,230.4239197,193.1845398,998.9034424,337.4038391,511.2835693,8373.650391
05-19-2015,229.8991394,194.0513,995.8518677,337.870697,500.5806274,8365.650391
05-20-2015,233.6640472,196.9331665,1013.428955,340.0354309,496.112915,8423.25
05-21-2015,233.8123779,194.3112946,1012.814819,336.5549316,501.9553223,8421.0
05-22-2015,233.7210846,195.849762,1037.545898,335.2390442,505.3429871,8458.950195
05-25-2015,233.549942,193.8237457,1030.847412,339.4836426,496.1620178,8370.25
05-26-2015,234.4284363,191.6785889,1033.958984,340.0354309,488.6013184,8339.349609
05-27-2015,236.8813629,191.8302917,1036.495728,346.9966125,463.21875,8334.599609
05-28-2015,234.8848419,189.771759,1034.216553,342.1152954,475.5909119,8319.0
05-29-2015,239.7107391,190.0318146,1034.533569,361.3009338,472.9396973,8433.650391
2015-01-06,236.4363556,195.503067,1037.486084,353.660675,463.5133057,8433.400391
2015-02-06,230.1843109,194.7230225,1030.411499,354.9339905,458.5055847,8236.450195
2015-03-06,229.442749,194.2246399,1034.771362,357.1412354,448.5882263,8135.100098
2015-04-06,231.5876617,197.7674255,1032.690674,353.4908447,443.0404053,8130.649902
2015-05-06,230.8574524,196.6948395,1030.370972,352.8117065,434.10495,8114.700195
2015-08-06,228.9636383,191.8627625,1031.010376,348.5246277,427.7224731,8044.149902
2015-09-06,228.598526,191.4835815,1024.689941,346.3174438,432.0920105,8022.399902
2015-10-06,231.7359467,196.2723083,1040.331055,352.3448181,438.5235596,8124.450195
2015-11-06,228.2220459,190.0642853,1028.550781,348.5246277,422.420166,7965.350098
2015-12-06,230.2642365,192.8162079,1002.350159,352.1325378,414.1720581,7982.899902
06-15-2015,229.3629303,195.3947296,1001.949707,351.156311,418.6397705,8013.899902
06-16-2015,230.0930939,195.8714294,1004.829468,351.7081299,424.973114,8047.299805
06-17-2015,229.2488556,201.776062,1005.549255,358.4995422,425.8569031,8091.549805
06-18-2015,232.6486511,212.1227264,1012.049866,362.022522,437.3943481,8174.600098
06-19-2015,235.1357727,215.9580231,1019.850281,368.4318848,425.2185974,8224.950195
06-22-2015,238.9349365,214.885437,1036.630493,360.3671265,432.533905,8353.099609
06-23-2015,240.0643921,215.6005096,1029.870483,365.290863,428.1152954,8381.549805
06-24-2015,238.6269073,214.7120972,1028.150391,360.749115,422.8129272,8360.849609
06-25-2015,243.0079041,217.6698456,1020.030334,362.2347412,424.5803528,8398.0
06-26-2015,242.5173035,216.8356018,1037.151001,354.8066711,429.6863403,8381.099609
06-29-2015,241.1026001,214.7012482,1037.190674,351.3686218,420.5054321,8318.400391
06-30-2015,243.4984436,216.7055969,1020.410278,356.5893555,426.2987061,8368.5
2015-01-07,244.6849976,217.9082031,1037.27063,360.324646,436.4615479,8453.049805
2015-02-07,243.2711029,219.0349579,1031.130249,367.7102356,428.5080261,8444.900391
2015-03-07,246.9609222,218.2440491,1041.590942,369.3656006,425.316803,8484.900391
2015-06-07,249.0874176,220.0533752,1053.351196,367.6678467,423.3038635,8522.150391
2015-07-07,249.8575134,217.3881531,1046.531006,366.60672,423.7457581,8510.799805
2015-08-07,245.7194977,215.9472046,1038.070679,365.290863,397.6268005,8363.049805
2015-09-07,246.9149323,213.9537048,1009.03009,368.3469849,390.6060486,8328.549805
2015-10-07,250.7541199,217.0739746,989.7695313,355.9526978,394.6319275,8360.549805
07-13-2015,251.9954681,218.2006836,1003.84967,359.6879578,394.8283386,8459.650391
07-14-2015,251.0069885,216.2072144,999.8301392,358.4995422,378.9703674,8454.099609
07-15-2015,252.1219482,219.0999756,1018.330078,359.0513,387.1693726,8523.799805
07-16-2015,256.2599792,221.8193207,1016.109924,360.4944763,388.1022034,8608.049805
07-17-2015,255.3059387,221.3859711,1025.789795,361.5131836,390.851532,8609.849609
07-20-2015,256.3864746,222.0468597,1033.907837,364.5692444,383.6835938,8603.450195
07-21-2015,252.4323578,218.3740387,1026.791992,377.9822693,382.0634155,8529.450195
07-22-2015,256.1910706,227.6048126,1013.423523,373.0160828,382.505249,8633.5
07-23-2015,254.6967468,226.4997253,997.6091919,367.4980469,394.0918579,8589.799805
07-24-2015,254.685257,222.1118774,1004.243591,368.3469849,383.1925964,8521.549805
07-27-2015,251.9265137,217.8431854,1000.996582,354.8066711,370.624115,8361.0
07-28-2015,254.8346405,218.9049377,1003.000549,348.0577393,363.4070435,8337.0
07-29-2015,254.8001556,215.8171692,1004.885193,354.5520325,369.6421814,8375.049805
07-30-2015,255.3059387,216.7164154,994.4224243,353.9577026,370.624115,8421.799805
07-31-2015,255.5588226,217.0848083,1006.488647,355.5282593,376.9083557,8532.849609
2015-03-08,251.8231201,217.214798,1006.027649,355.6131897,381.1796875,8543.049805
2015-04-08,249.7655945,214.083725,1005.746826,350.816803,373.8644409,8516.900391
2015-05-08,251.0874329,214.0295715,1021.079895,354.4671021,369.5930786,8567.950195
2015-06-08,251.9495392,212.1227264,1031.562988,352.3023682,376.171936,8588.650391
2015-07-08,251.1908569,213.2928314,1023.044312,349.4160461,386.2856445,8564.599609
2015-10-08,251.6506958,209.9450684,1031.081787,348.2275391,378.724884,8525.599609
2015-11-08,251.6621704,209.3167114,1043.949951,343.6858215,362.4742126,8462.349609
2015-12-08,246.0872803,204.3112793,1071.008911,338.4649048,348.7764893,8349.450195
08-13-2015,247.7196045,202.2419434,1056.537354,328.493988,343.0813293,8355.849609
08-14-2015,253.2944489,209.522522,1083.636108,337.2868347,348.8255615,8518.549805
08-17-2015,250.9264984,206.0014038,1076.240112,333.1039124,349.6601868,8477.299805
08-18-2015,249.7425842,204.5712585,1098.749023,329.1342468,342.2958374,8466.549805
08-19-2015,248.7080994,206.8464661,1095.822388,326.5732422,344.8979187,8495.150391
08-20-2015,247.0643005,198.5474548,1077.082153,324.3963928,336.0115662,8372.75
08-21-2015,243.9838562,196.7381592,1072.792358,315.4754639,326.3887634,8299.950195
08-24-2015,234.270874,179.7501526,1033.70752,297.3348999,302.6755371,7809.0
08-25-2015,234.1329193,183.7804413,1029.097534,297.377594,322.9029846,7880.700195
08-26-2015,232.9949951,184.9180756,1032.945923,289.5664063,329.039978,7791.850098
08-27-2015,234.9720306,188.3308411,1032.104126,296.4812317,328.0089417,7948.950195
08-28-2015,236.3169098,189.0350342,1030.580688,309.4570618,333.9004211,8001.950195
08-31-2015,236.2019653,185.4597778,1027.855103,302.4569092,333.9986267,7971.299805
2015-01-09,229.9144135,181.9819946,1017.17157,294.8591919,323.9339905,7785.850098
2015-02-09,228.776474,184.0838165,1038.979004,293.0238342,318.5825806,7717.0
2015-03-09,232.2593079,185.015564,1044.51123,296.0117188,327.5179749,7823.0
2015-04-09,228.9833679,181.1260986,1021.200256,298.7861328,317.0605774,7655.049805
2015-07-09,226.3166504,180.5410156,1018.113464,296.3103943,317.0114746,7558.799805
2015-08-09,230.8224945,183.8779755,1018.334229,296.8653564,324.9158936,7688.25
2015-09-09,233.6387024,189.3925934,1022.122803,302.6276245,338.6627502,7818.600098
2015-10-09,232.4202576,187.8649445,1020.378662,299.1702881,347.6963501,7788.100098
2015-11-09,232.3053131,186.5540314,1023.024475,297.6763611,338.3681641,7789.299805
09-14-2015,234.4203339,187.1824036,1022.883972,302.3288879,340.5283813,7872.25
09-15-2015,232.9145203,187.8649445,1017.111572,299.639801,328.3035278,7829.100098
09-16-2015,235.2594147,189.0675659,1022.363159,306.8960876,331.9365845,7899.149902
09-18-2015,241.328537,194.0187988,1022.723389,304.6765442,324.2776794,7981.899902
09-21-2015,242.0641785,190.2701416,1022.643799,300.7496033,325.7014465,7977.100098
09-22-2015,236.9376068,183.7262878,1012.922546,293.4933167,310.0889587,7812.0
09-23-2015,241.2021179,184.2571869,1015.267517,288.456665,304.6884155,7845.950195
09-24-2015,241.7078705,181.4402924,1034.408813,284.2309875,297.9132385,7868.5
09-28-2015,240.5584259,180.7685699,1039.740967,279.6638489,279.8459778,7795.700195
09-29-2015,244.7884521,182.1770325,1037.555786,275.4381409,283.5281677,7843.299805
09-30-2015,245.7079773,186.8465576,1037.475586,288.4140015,293.2000427,7948.899902
2015-01-10,245.4436035,187.3666077,1060.145142,289.7798767,292.3654175,7950.899902
2015-05-10,252.501297,192.415329,1087.023193,295.5848694,309.4507141,8119.299805
2015-06-10,249.6506195,194.5930176,1082.353394,297.8044128,327.6653137,8152.899902
2015-07-10,250.0644226,198.0057678,1063.892822,292.5115967,335.1769409,8177.399902
2015-08-10,248.9954071,192.6536713,1055.815918,291.5726013,337.0426025,8129.350098
2015-09-10,249.6966248,192.2744904,1054.152222,296.7373047,350.0038757,8189.700195
2015-12-10,248.4092255,193.22789,1039.299683,298.3592834,355.7971802,8143.600098
10-13-2015,247.4436493,193.6287537,1041.685059,294.901947,354.5697937,8131.700195
10-14-2015,249.3747559,195.6547241,995.6446533,295.6275024,345.928894,8107.899902
10-15-2015,249.2368011,195.8172607,989.2510986,299.853241,374.4045105,8179.5
10-16-2015,252.8921204,198.2224579,990.9547729,298.4873657,379.7559204,8238.150391
10-19-2015,252.3748627,208.7749786,997.6693726,310.4815369,371.8515015,8275.049805
10-20-2015,251.7081604,207.3015289,1012.902344,308.9021606,376.2210083,8261.650391
10-21-2015,251.7311707,206.933136,1014.205261,317.1401367,374.5517578,8251.700195
10-23-2015,254.8346405,207.0739746,1019.287109,306.5546265,376.0737305,8295.450195
10-26-2015,253.2254486,204.3004303,1019.046387,300.6642151,377.6448059,8260.549805
10-27-2015,255.3864288,203.5853729,1016.856873,301.0483704,376.4174194,8232.900391
10-28-2015,255.5243073,203.0219879,1016.053223,305.8716125,379.3140259,8171.200195
10-29-2015,253.6967163,203.8995667,1002.494446,303.3959961,384.1254578,8111.75
10-30-2015,252.7886047,205.3513794,1002.433655,297.9751587,377.9884644,8065.799805
2015-02-11,248.9954071,207.9732208,1011.332703,298.9141846,380.9342346,8050.799805
2015-03-11,249.4092407,209.5766907,1021.818237,296.7800293,375.1408997,8060.700195
2015-04-11,248.6736145,206.131424,1017.941589,295.7129211,397.528595,8040.200195
2015-05-11,248.248291,202.946167,997.3922119,287.3042297,396.6939697,7955.450195
2015-06-11,248.489624,206.3697662,1006.672729,289.5664063,388.9859314,7954.299805
2015-09-11,244.7884521,208.2874298,992.8522949,286.1944275,404.303833,7915.200195
2015-10-11,242.4434967,199.9450836,987.5492554,283.1211853,400.081604,7783.350098
11-13-2015,241.8572845,202.1769409,963.1433105,285.0420227,396.6448975,7762.25
11-16-2015,243.9033356,202.4477844,953.9835205,286.6212463,393.0117493,7806.600098
11-17-2015,243.8688354,201.0284882,960.3914185,285.5541992,400.1306763,7837.549805
11-18-2015,241.0641785,197.6157227,944.6831055,285.0846558,398.9032898,7731.799805
11-19-2015,245.730957,202.5452728,949.1425781,289.8652649,399.5906067,7842.75
11-20-2015,246.1792603,205.16716,963.5246582,291.401886,395.5647888,7856.549805
11-23-2015,245.0757751,206.6622925,960.5921631,289.3956604,394.8283386,7849.25
11-24-2015,244.6849976,209.6850433,951.3123169,291.5726013,393.6991577,7831.600098
11-26-2015,244.5929565,214.2245331,942.3131104,292.0848083,416.7250671,7883.799805
11-27-2015,248.1448517,212.1444092,945.4466553,292.1274719,410.0971069,7942.700195
11-30-2015,247.7655029,209.5550232,953.5618896,285.4260864,415.8413086,7935.25
2015-01-12,248.9724274,209.2949982,948.8812866,275.523468,409.8025513,7954.899902
2015-02-12,247.7770081,211.9060516,950.2070313,275.6515198,405.6784668,7931.350098
2015-03-12,247.5356293,211.7435455,944.4019775,272.791748,398.2650146,7864.149902
2015-04-12,243.4320526,209.1974792,935.4232788,274.285675,392.7172241,7781.899902
2015-07-12,244.133194,206.2939301,931.9681396,273.2612305,391.9316406,7765.399902
2015-08-12,241.2135925,203.8778992,935.6642456,271.3405457,395.1228638,7701.700195
2015-09-12,240.7997894,198.4608002,951.1911621,265.3647461,386.8257141,7612.5
2015-10-12,243.8228302,205.9255524,957.9810181,266.9013977,382.5544128,7683.299805
2015-11-12,240.5469055,206.4889374,958.5639038,264.2550049,371.1150818,7610.450195
12-14-2015,242.5469666,206.9548187,955.5299683,261.3525085,364.8798828,7650.049805
12-15-2015,243.5584869,211.4618683,954.4859009,263.9561768,372.6370239,7700.899902
12-16-2015,245.3631897,212.0577087,967.562561,273.4747009,373.5698547,7750.899902
12-17-2015,248.3402405,218.7857361,980.1570435,275.2247009,376.0246582,7844.350098
12-18-2015,246.6735229,214.9287872,970.9371338,272.3648987,371.4096069,7761.950195
12-21-2015,247.2252655,214.9721069,982.8289185,273.9442444,373.2752991,7834.450195
12-22-2015,245.1677399,213.9320526,966.2173462,275.9076538,371.2623291,7786.100098
12-23-2015,246.9264069,217.5073242,974.5529785,283.7187805,371.6060181,7865.950195
12-24-2015,246.9034271,216.8030701,977.9476929,288.926178,375.4845886,7861.049805
12-28-2015,247.6506042,218.9374542,989.3775024,283.2065735,386.8748169,7925.149902
12-29-2015,247.8114624,220.0208435,986.6051636,286.1944275,384.7637024,7928.950195
12-30-2015,246.9724274,217.6589966,971.5397339,284.3590698,386.3347473,7896.25
12-31-2015,248.7770538,219.8475037,978.9920654,290.5908508,384.2236023,7946.350098
2016-01-01,250.294342,220.010025,970.7764893,290.6762085,394.6319275,7946.350098
2016-04-01,246.0988007,215.6655121,951.9746704,278.980896,370.2312927,7791.299805
2016-05-01,244.2366638,217.7998352,943.6787109,276.1210327,367.6783752,7784.649902
2016-06-01,245.3171692,223.6611176,956.7958374,275.0539856,359.2829895,7741.0
2016-07-01,242.8113403,219.5549927,952.6377563,275.1820679,337.3371582,7568.299805
2016-08-01,244.2252045,222.2635193,963.223877,276.4625549,346.9599304,7601.350098
2016-11-01,243.3630981,227.8648071,949.062561,274.1576233,353.6860962,7563.850098
2016-12-01,240.6848297,226.5322266,934.8803711,269.2489929,348.5800476,7510.299805
01-13-2016,243.7194061,233.3361053,915.6568604,263.4440308,358.0065002,7562.399902
01-14-2016,241.328537,230.0424805,915.4962158,263.5720825,347.8927612,7536.799805
01-15-2016,239.5813751,232.5668335,908.385498,261.309845,335.1278381,7437.799805
01-18-2016,235.834137,220.3350372,915.0344238,256.3157959,334.0477295,7351.0
01-19-2016,238.1215973,226.1313477,915.6973267,264.8952332,347.7454529,7435.100098
01-20-2016,234.098465,217.6698456,916.0187378,264.2976379,336.0606384,7309.299805
01-21-2016,235.1789246,213.2603149,907.9243164,264.0415649,322.6083984,7276.799805
01-22-2016,236.857193,217.5831451,924.5362549,254.99263,333.3603821,7422.450195
01-25-2016,239.3514709,217.5398407,928.1200562,253.9682159,326.5852051,7436.149902
01-27-2016,238.0870972,216.5430756,934.2012939,254.2242889,330.9547119,7437.75
01-28-2016,237.1790009,220.3458557,938.8123169,248.760849,328.1562195,7424.649902
01-29-2016,241.3515472,224.3545227,963.0155029,247.4803009,330.8074036,7563.549805
2016-01-02,243.6274872,223.2494507,967.6067505,253.1998901,332.3785095,7555.950195
2016-02-02,242.2596436,216.933136,965.7543945,257.9805298,323.590332,7455.549805
2016-03-02,239.9722137,212.6535797,973.0836182,255.9317017,314.5075989,7361.799805
2016-04-02,241.2021179,210.8442993,974.5939331,259.7305298,319.6135559,7404.0
2016-05-02,242.5929718,210.378418,975.3589478,262.2488403,331.0038147,7489.100098
2016-08-02,238.1330414,208.2440796,951.5988159,265.4928284,317.6497192,7387.25
2016-09-02,235.8801422,207.4748535,918.7571411,266.559906,305.032135,7298.200195
2016-10-02,232.8685303,208.5907898,913.6830444,265.7489319,286.2774963,7215.700195
2016-11-02,224.21315,200.3351288,885.1505127,263.5293274,271.352417,6976.350098
2016-12-02,223.3165436,196.4348145,896.6881714,277.0601807,292.9545593,6980.950195
02-15-2016,223.8223114,205.1455078,913.8240356,272.2368774,311.5127869,7162.950195
02-16-2016,223.7878265,201.6352386,912.3740845,269.1636353,295.7039185,7048.25
02-17-2016,224.1212006,206.4130859,916.4013062,272.791748,304.5411377,7108.450195
02-18-2016,227.466095,203.7045441,932.6306152,274.2002869,308.3215332,7191.75
02-19-2016,227.4316101,204.6254578,934.1610718,278.3406067,312.4456177,7210.75
02-22-2016,227.3051758,208.5149078,932.6509399,280.9443665,313.0838318,7234.549805
02-23-2016,223.0061798,205.7738953,911.749939,274.285675,312.7892456,7109.549805
02-24-2016,218.3049164,206.4239502,890.3860474,276.5478516,300.7607727,7018.700195
02-25-2016,216.7071838,204.5712585,891.1508789,275.3527527,292.807251,6970.600098
02-26-2016,220.9256744,205.9255524,890.2047729,271.4259033,296.3421631,7029.75
02-29-2016,223.4200134,209.4575195,876.6331177,269.3343811,294.2801514,6987.049805
2016-01-03,226.2476654,212.6319122,916.8442383,273.773468,309.6471558,7222.299805
2016-02-03,231.5466461,217.0089417,933.8386841,278.5967407,311.365509,7368.850098
2016-03-03,233.535202,219.4683228,955.7064209,284.6152039,330.6110229,7475.600098
2016-04-03,234.6157379,218.0707092,949.4238892,281.0723877,337.2880554,7485.350098
2016-08-03,233.144455,222.5343933,948.1152954,282.9931641,339.7919312,7485.299805
2016-09-03,235.5927734,225.7196503,949.3032837,285.6395264,341.4121094,7531.799805
2016-10-03,234.7766418,219.2299652,945.6989136,287.0907898,342.1976013,7486.149902
2016-11-03,236.4893341,219.8258667,952.5247192,287.9017944,347.8436584,7510.200195
03-14-2016,236.2249756,220.9634247,948.3971558,290.8896484,359.8230591,7538.75
03-15-2016,236.0295563,221.1259308,938.2886353,292.7250061,353.8824158,7460.600098
03-16-2016,236.8916168,221.3967743,937.1411743,288.9688721,353.0477905,7498.75
03-17-2016,234.12146,222.6295776,947.2092285,290.8896484,354.3733826,7512.549805
03-18-2016,236.4203949,225.0837555,976.9293213,293.9201965,359.4302063,7604.350098
03-21-2016,240.3744659,227.2969055,985.1446533,301.9019775,367.9238586,7704.25
03-22-2016,242.2710876,229.6086578,995.9580078,299.5544434,370.3786316,7714.899902
03-23-2016,241.236618,225.5220184,996.2396851,305.7862244,370.1821899,7716.5
03-28-2016,240.8113098,223.5937347,996.0791016,298.615387,356.7299805,7615.100098
03-29-2016,242.2596436,227.0668335,994.4679565,302.6276245,365.7145691,7597.0
03-30-2016,244.8228912,229.4333649,1002.5625,302.0300293,381.5724487,7735.200195
03-31-2016,246.24823,229.0279694,1014.966553,299.4690857,379.6086121,7738.399902
2016-01-04,244.7079315,226.6724091,988.225647,286.3652039,372.7843018,7713.049805
2016-04-04,245.7654724,226.8038788,995.2127075,297.5056458,381.3760986,7758.799805
2016-05-04,243.0987091,225.0289917,991.7897949,282.1394653,363.7997437,7603.200195
2016-06-04,244.0297546,226.5190125,999.5018311,285.5541992,369.8876648,7614.350098
2016-07-04,242.6504211,227.285965,995.0316162,282.7798157,368.4147949,7546.450195
2016-08-04,243.5355225,227.0887451,979.4261475,285.6395264,364.732605,7555.200195
2016-11-04,246.2022552,227.9542847,1009.469421,297.2922058,379.6577454,7671.399902
2016-12-04,244.3746338,229.5100555,1014.100586,298.8714905,388.6422119,7708.950195
04-13-2016,248.6850739,233.5966949,1017.342102,299.853241,401.3580627,7850.450195
04-18-2016,250.0759735,233.3118439,1014.744446,306.81073,399.9833679,7914.700195
04-20-2016,252.3863373,227.2969055,986.7963867,304.4630737,396.7921448,7914.75
04-21-2016,250.8460083,228.1405334,976.3455811,304.9752502,404.0583191,7912.049805
04-22-2016,251.075943,227.6584625,973.3860474,301.4325562,409.4588623,7899.299805
04-25-2016,251.3287964,222.826767,987.1585693,306.4265137,404.745697,7855.049805
04-26-2016,256.0645447,222.837738,1002.682983,307.6643372,411.4717712,7962.649902
04-27-2016,258.4439697,223.3745728,1011.261353,318.4633179,410.980835,7979.899902
04-28-2016,256.0875244,218.4005127,1017.966431,318.1645813,403.9110413,7847.25
04-29-2016,260.3175964,215.3327789,1021.087585,310.3961487,400.965332,7849.799805
2016-02-05,256.9381714,216.2640228,1017.543518,305.4447937,400.3270264,7805.899902
2016-03-05,257.0186157,213.820816,997.9717407,314.4510803,402.2417908,7747.0
2016-04-05,259.1680908,214.3247986,997.9312744,308.5606995,374.8954163,7706.549805
